date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:06	219/219	U--MCZ	200	updated ('OK')	text/plain	etag:W/%2263f6ca2c-154%22	https://www.classcentral.com/robots.txt		(from )
23:00:07	664710/664710	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2025%20Feb%202023%2004:00:07%20GMT	https://www.classcentral.com/	C:/My%20Web%20Sites/classcentral/www.classcentral.com/index.html	(from )
23:00:08	2206/2206	U-----	200	untouched ('')	image/png	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/apple-touch-icon.png	C:/My%20Web%20Sites/classcentral/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
23:00:08	9463/9463	U-----	200	untouched ('')	image/png	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
23:00:08	815869/815869	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Feb%202023%2004:00:08%20GMT	https://www.classcentral.com/subject/maths	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/maths.html	(from https://www.classcentral.com/)
23:00:08	975/975	U-----	200	untouched ('')	image/png	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/favicon-32x32.png	C:/My%20Web%20Sites/classcentral/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
23:00:08	731/731	U-----	200	untouched ('')	image/png	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/favicon-16x16.png	C:/My%20Web%20Sites/classcentral/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
23:00:09	673/673	U-----	200	untouched ('')	application/octet-stream	etag:%2263f6c9db-2a1%22	https://www.classcentral.com/site.webmanifest	C:/My%20Web%20Sites/classcentral/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
23:00:09	1960/1960	U--MCZ	200	updated ('OK')	image/svg+xml	etag:W/%2263f6c9db-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	C:/My%20Web%20Sites/classcentral/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
23:00:09	913/913	U-----	200	untouched ('')	text/xml	etag:W/%2263f6c9db-391%22	https://www.classcentral.com/opensearch.xml	C:/My%20Web%20Sites/classcentral/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
23:00:09	1328/1328	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
23:00:10	839944/839944	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Feb%202023%2004:00:09%20GMT	https://www.classcentral.com/subject/business	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/business.html	(from https://www.classcentral.com/)
23:00:10	1328/1328	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
23:00:10	1488/1488	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
23:00:10	5588/5588	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
23:00:10	12520/12520	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
23:00:10	826198/826198	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Feb%202023%2004:00:10%20GMT	https://www.classcentral.com/subject/humanities	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/humanities.html	(from https://www.classcentral.com/)
23:00:11	15280/15280	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
23:00:11	6868/6868	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	(from https://www.classcentral.com/)
23:00:11	9684/9684	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	(from https://www.classcentral.com/)
23:00:11	805541/805541	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Feb%202023%2004:00:11%20GMT	https://www.classcentral.com/subject/engineering	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/engineering.html	(from https://www.classcentral.com/)
23:00:12	8444/8444	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
